Fra;Til;KWH 60 Forbruk
01.01.2021 00:00;01.01.2021 01:00;5.183
01.01.2021 01:00;01.01.2021 02:00;4.974
01.01.2021 02:00;01.01.2021 03:00;3.775
01.01.2021 03:00;01.01.2021 04:00;3.822
01.01.2021 04:00;01.01.2021 05:00;4.121
01.01.2021 05:00;01.01.2021 06:00;4.27
01.01.2021 06:00;01.01.2021 07:00;4.131
01.01.2021 07:00;01.01.2021 08:00;4.035
01.01.2021 08:00;01.01.2021 09:00;4.086
01.01.2021 09:00;01.01.2021 10:00;3.956
01.01.2021 10:00;01.01.2021 11:00;4.159
01.01.2021 11:00;01.01.2021 12:00;4.206
01.01.2021 12:00;01.01.2021 13:00;5.154
01.01.2021 13:00;01.01.2021 14:00;4.774
01.01.2021 14:00;01.01.2021 15:00;4.992
01.01.2021 15:00;01.01.2021 16:00;5.023
01.01.2021 16:00;01.01.2021 17:00;5.372
01.01.2021 17:00;01.01.2021 18:00;4.9
01.01.2021 18:00;01.01.2021 19:00;4.275
01.01.2021 19:00;01.01.2021 20:00;4.513
01.01.2021 20:00;01.01.2021 21:00;4.141
01.01.2021 21:00;01.01.2021 22:00;4.559
01.01.2021 22:00;01.01.2021 23:00;4.742
01.01.2021 23:00;02.01.2021 00:00;3.197
02.01.2021 00:00;02.01.2021 01:00;2.843
02.01.2021 01:00;02.01.2021 02:00;3.247
02.01.2021 02:00;02.01.2021 03:00;3.583
02.01.2021 03:00;02.01.2021 04:00;3.534
02.01.2021 04:00;02.01.2021 05:00;3.242
02.01.2021 05:00;02.01.2021 06:00;3.344
02.01.2021 06:00;02.01.2021 07:00;3.539
02.01.2021 07:00;02.01.2021 08:00;4.458
02.01.2021 08:00;02.01.2021 09:00;5.006
02.01.2021 09:00;02.01.2021 10:00;4.903
02.01.2021 10:00;02.01.2021 11:00;4.734
02.01.2021 11:00;02.01.2021 12:00;4.522
02.01.2021 12:00;02.01.2021 13:00;4.584
02.01.2021 13:00;02.01.2021 14:00;4.525
02.01.2021 14:00;02.01.2021 15:00;6.045
02.01.2021 15:00;02.01.2021 16:00;4.745
02.01.2021 16:00;02.01.2021 17:00;5.256
02.01.2021 17:00;02.01.2021 18:00;4.902
02.01.2021 18:00;02.01.2021 19:00;4.92
02.01.2021 19:00;02.01.2021 20:00;5.027
02.01.2021 20:00;02.01.2021 21:00;4.591
02.01.2021 21:00;02.01.2021 22:00;3.45
02.01.2021 22:00;02.01.2021 23:00;3.505
02.01.2021 23:00;03.01.2021 00:00;3.7
03.01.2021 00:00;03.01.2021 01:00;3.62
03.01.2021 01:00;03.01.2021 02:00;3.298
03.01.2021 02:00;03.01.2021 03:00;3.583
03.01.2021 03:00;03.01.2021 04:00;4.235
03.01.2021 04:00;03.01.2021 05:00;4.011
03.01.2021 05:00;03.01.2021 06:00;3.426
03.01.2021 06:00;03.01.2021 07:00;3.827
03.01.2021 07:00;03.01.2021 08:00;4.148
03.01.2021 08:00;03.01.2021 09:00;4.984
03.01.2021 09:00;03.01.2021 10:00;3.803
03.01.2021 10:00;03.01.2021 11:00;4.502
03.01.2021 11:00;03.01.2021 12:00;4.911
03.01.2021 12:00;03.01.2021 13:00;4.636
03.01.2021 13:00;03.01.2021 14:00;4.546
03.01.2021 14:00;03.01.2021 15:00;5.96
03.01.2021 15:00;03.01.2021 16:00;5.968
03.01.2021 16:00;03.01.2021 17:00;5.516
03.01.2021 17:00;03.01.2021 18:00;5.09
03.01.2021 18:00;03.01.2021 19:00;5.394
03.01.2021 19:00;03.01.2021 20:00;5.861
03.01.2021 20:00;03.01.2021 21:00;5.079
03.01.2021 21:00;03.01.2021 22:00;4.808
03.01.2021 22:00;03.01.2021 23:00;5.139
03.01.2021 23:00;04.01.2021 00:00;4.902
04.01.2021 00:00;04.01.2021 01:00;4.403
04.01.2021 01:00;04.01.2021 02:00;4.193
04.01.2021 02:00;04.01.2021 03:00;5.394
04.01.2021 03:00;04.01.2021 04:00;5.371
04.01.2021 04:00;04.01.2021 05:00;4.752
04.01.2021 05:00;04.01.2021 06:00;4.66
04.01.2021 06:00;04.01.2021 07:00;4.608
04.01.2021 07:00;04.01.2021 08:00;5.894
04.01.2021 08:00;04.01.2021 09:00;6.747
04.01.2021 09:00;04.01.2021 10:00;6.123
04.01.2021 10:00;04.01.2021 11:00;6.176
04.01.2021 11:00;04.01.2021 12:00;6.369
04.01.2021 12:00;04.01.2021 13:00;6.108
04.01.2021 13:00;04.01.2021 14:00;6.151
04.01.2021 14:00;04.01.2021 15:00;6.134
04.01.2021 15:00;04.01.2021 16:00;5.922
04.01.2021 16:00;04.01.2021 17:00;6.597
04.01.2021 17:00;04.01.2021 18:00;6.502
04.01.2021 18:00;04.01.2021 19:00;6.131
04.01.2021 19:00;04.01.2021 20:00;5.774
04.01.2021 20:00;04.01.2021 21:00;5.761
04.01.2021 21:00;04.01.2021 22:00;6.318
04.01.2021 22:00;04.01.2021 23:00;5.342
04.01.2021 23:00;05.01.2021 00:00;4.258
05.01.2021 00:00;05.01.2021 01:00;4.334
05.01.2021 01:00;05.01.2021 02:00;4.492
05.01.2021 02:00;05.01.2021 03:00;4.219
05.01.2021 03:00;05.01.2021 04:00;4.368
05.01.2021 04:00;05.01.2021 05:00;4.65
05.01.2021 05:00;05.01.2021 06:00;5.225
05.01.2021 06:00;05.01.2021 07:00;5.522
05.01.2021 07:00;05.01.2021 08:00;6.345
05.01.2021 08:00;05.01.2021 09:00;6.674
05.01.2021 09:00;05.01.2021 10:00;6.555
05.01.2021 10:00;05.01.2021 11:00;6.341
05.01.2021 11:00;05.01.2021 12:00;6.788
05.01.2021 12:00;05.01.2021 13:00;6.869
05.01.2021 13:00;05.01.2021 14:00;6.587
05.01.2021 14:00;05.01.2021 15:00;6.519
05.01.2021 15:00;05.01.2021 16:00;6.11
05.01.2021 16:00;05.01.2021 17:00;5.929
05.01.2021 17:00;05.01.2021 18:00;5.464
05.01.2021 18:00;05.01.2021 19:00;6.72
05.01.2021 19:00;05.01.2021 20:00;8.925
05.01.2021 20:00;05.01.2021 21:00;9.407
05.01.2021 21:00;05.01.2021 22:00;8.538
05.01.2021 22:00;05.01.2021 23:00;6.027
05.01.2021 23:00;06.01.2021 00:00;4.571
06.01.2021 00:00;06.01.2021 01:00;4.724
